title,views,price
Acer Aspire 5 Thin and Light Laptop Intel Core I5 11th Gen ( 8 GB/512 GB SSD/ Windows 10 Home/ Iris Xe Graphic) A515-56-54FN with 39.6 cm (15.6 Inch) with FHD Display / 1.65 Kgs,11,"54,990"
,,"54,990"
,,
"HP 15 Entry Level 15.6-inch (39.62 cms) HD Laptop (AMD 3020e/4GB/1TB HDD/Windows 10 Home/Jet Black/1.74 Kg), 15s-gy0003AU",820,"25,940"
,,
"HP 15 Entry Level 15.6-inch (39.62 cms) HD Laptop (AMD 3020e/4GB/1TB HDD/Windows 10 Home/Jet Black/1.74 Kg), 15s-gy0003AU",820,"25,940"
,,"25,940"
,,
"HP 14 (2021) Thin & Light Intel Celeron N4500 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-inch HD Screen, Windows 10, MS Office (14s-dq3017TU)",71,"29,990"
,,
"HP 14 (2021) Thin & Light Intel Celeron N4500 Laptop with Alexa Built-in, 8GB RAM, 256GB SSD, 14-inch HD Screen, Windows 10, MS Office (14s-dq3017TU)",71,"29,990"
,,"29,990"
,,
"Lenovo Ideapad S145 AMD RYZEN 3 3200U 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Windows 10/Office 2019/Grey/1.85Kg),81UT001CIN",762,"28,990"
,,
"Lenovo Ideapad S145 AMD RYZEN 3 3200U 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Windows 10/Office 2019/Grey/1.85Kg),81UT001CIN",762,"28,990"
,,"28,990"
,,
,"9,2,15,3,368","1,94,990,44,490,40,990,75,889,67,990"
,,
,9,"1,94,990"
,2,"44,490"
,15,"40,990"
,3,"75,889"
,368,"67,990"
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",277,"27,495"
,,
"HP 15 Intel Pentium Gold 6405U Processor Entry Level 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Win 10/Jet Black/1.74kg), 15s-du1052tu",277,"27,495"
,,"27,495"
,,
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au",40,"27,490"
,,
"HP 15 AMD Athlon 15.6"" (39.62cms) HD Laptop (Silver-3050U/4GB/1TB/Win 10/MS Office/Jet Black/1.85kg), 15s-gy0001au",40,"27,490"
,,"27,490"
,,
"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700J0IH",,"27,475"
,,
"Lenovo V15 AMD 15.6-inch FHD Thin and Light Laptop (AMD Athlon Silver 3050 U/ 4GB RAM/ 1TB HDD/ Windows 10 Home/Integrated AMD Radeon Graphics/ Iron Grey/ 1.85 kg), 82C700J0IH",,"27,475"
,,"27,475"
,,
"Lenovo IdeaPad Slim 3 Intel Celeron N4020 15.6"" (39.62cms) HD Thin and Light Laptop (4GB/256GB SSD/Windows 10/Platinum Grey/1.7Kg), 81WQ003LIN",217,
,,
"Lenovo IdeaPad Slim 3 Intel Celeron N4020 15.6"" (39.62cms) HD Thin and Light Laptop (4GB/256GB SSD/Windows 10/Platinum Grey/1.7Kg), 81WQ003LIN",217,
,,
,,
"AVITA Essential NE14A2INC433-CR 14"" (35.56cms)Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Concrete Grey",708,
,,
"AVITA Essential NE14A2INC433-CR 14"" (35.56cms)Laptop (Celeron N4000/4GB/128GB SSD/Window 10 Home in S Mode/Integrated Graphics), Concrete Grey",708,
,,
,,
(Renewed) Fujitsu A573 Lifebook with Numeric Keypad (Intel Core i5 - 3340m /4 GB/300 GB HDD/Windows 10 / NO Webcam / HDMI / 4 USB/15.6 Inch Screen),3,"19,990"
,,
(Renewed) Fujitsu A573 Lifebook with Numeric Keypad (Intel Core i5 - 3340m /4 GB/300 GB HDD/Windows 10 / NO Webcam / HDMI / 4 USB/15.6 Inch Screen),3,"19,990"
,,"19,990"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00L9IN",66,"67,990"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00L9IN",66,"67,990"
,,"67,990"
,,
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",285,"35,994"
,,
"HP 15 (2021) Thin & Light Ryzen 3-3250 Laptop, 8 GB RAM, 1TB HDD, 39.62 cms (15.6"") FHD Screen, Windows 10, MS Office (15s-gr0011AU)",285,"35,994"
,,"35,994"
,,
"HP Chromebook 14a-na0002TU Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics), Ceremic White, 35.6 cm (14 inch)",328,"25,990"
,,
"HP Chromebook 14a-na0002TU Laptop (Celeron N4020/4GB/64GB SSD/Chrome OS/Integrated Graphics), Ceremic White, 35.6 cm (14 inch)",328,"25,990"
,,"25,990"
,,
"Lenovo Ideapad S145 AMD Ryzen 3 3200U 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/Platinum Grey/1.85Kg), 81UT00KWIN",167,
,,
"Lenovo Ideapad S145 AMD Ryzen 3 3200U 15.6 inch (39.62 cms) Full HD Thin and Light Laptop (4GB/1TB HDD/Windows 10/Platinum Grey/1.85Kg), 81UT00KWIN",167,
,,
,,
"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)",226,"31,499"
,,
"HP 15 Thin & Light Ryzen 3-3250 Laptop, 4 GB RAM, 1TB HDD, 38.1 cms (15"") FHD Screen, Windows 10, MS Office (15s-gr0006au)",226,"31,499"
,,"31,499"
,,
"ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch (35.56 cms) FHD Thin and Light Laptop (4GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Silver/1.6 kg), X415JA-EK312TS",134,"34,990"
,,
"ASUS VivoBook 14 (2020) Intel Core i3-1005G1 10th Gen 14-inch (35.56 cms) FHD Thin and Light Laptop (4GB/256GB NVMe SSD/Integrated Graphics/Windows 10/MS Office 2019/Silver/1.6 kg), X415JA-EK312TS",134,"34,990"
,,"34,990"
,,
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",729,"58,223"
,,
"HP 15 (2021) Thin & Light 11th Gen Core i5 Laptop, 8 GB RAM, 512GB SSD, 15.6-inch (39.62 cms) FHD Screen, Windows 10, MS Office, Built-in Alexa (15s-fq2535TU)",729,"58,223"
,,"58,223"
,,
Asus X509MA-BR270T/ Silver/ Intel Celeron N4020/ RAM 4GB/ SSD 256GB/ 15.6 inch HD/ FP/ 2Cell/ Win 10SL,32,"31,900"
,,
Asus X509MA-BR270T/ Silver/ Intel Celeron N4020/ RAM 4GB/ SSD 256GB/ 15.6 inch HD/ FP/ 2Cell/ Win 10SL,32,"31,900"
,,"31,900"
,,
"HP 245 G7 Commercial Laptop (ATHLON-3050U, 4GB RAM, 1TB HDD, DOS - Doesn't Come with Windows), 1S5E8PA - for Small and Medium Business",3,
,,
"HP 245 G7 Commercial Laptop (ATHLON-3050U, 4GB RAM, 1TB HDD, DOS - Doesn't Come with Windows), 1S5E8PA - for Small and Medium Business",3,
,,
,,
"Lenovo Legion Y540 9th Gen Intel Core i7 15.6-inch Full HD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/60 Hz/NVIDIA GTX 1650 4GB GDDR5 Graphics/Raven Black/2.3Kg), 81SY00SMIN",,"74,990"
,,
"Lenovo Legion Y540 9th Gen Intel Core i7 15.6-inch Full HD Gaming Laptop (8GB/1TB HDD + 256GB SSD/Windows 10/60 Hz/NVIDIA GTX 1650 4GB GDDR5 Graphics/Raven Black/2.3Kg), 81SY00SMIN",,"74,990"
,,"74,990"
,,
"Lenovo Legion Y540 9th Gen Intel Core i5 15.6-inch (39.62 cms) Full HD Gaming Laptop (8GB/256GB SSD + 1TB HDD/Windows 10/60 Hz/NVIDIA GTX 1650 4GB GDDR5 Graphics/Raven Black/2.3Kg), 81SY00UAIN",340,"64,990"
,,
"Lenovo Legion Y540 9th Gen Intel Core i5 15.6-inch (39.62 cms) Full HD Gaming Laptop (8GB/256GB SSD + 1TB HDD/Windows 10/60 Hz/NVIDIA GTX 1650 4GB GDDR5 Graphics/Raven Black/2.3Kg), 81SY00UAIN",340,"64,990"
,,"64,990"
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
"Experience cutting-edge gaming technology.,ASUS TUF DASH F15 (2021), 15.6-inch FHD 144Hz, Intel Core i5-11300H, GeForce RTX 3060 6GB Graphics, Gaming Laptop (16GB RAM/512GB SSD/Office 2019/Windows 10 Home/Moonlight White/2 Kg), FX516PM-HN156TS,ASUS ROG Strix G15 (2020), 15.6"" FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 Ti 4GB Graphics, Gaming Laptop (8GB RAM/1TB SSD/Office 2019/Windows 10/Electro Punk/2.3 Kg), G512LI-HN118TS,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00UAIN,Lenovo IdeaPad Gaming 3 AMD Ryzen 7 15.6-inch FHD IPS Gaming Laptop (16GB/512 SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6/Onyx Black/2.2Kg), 82EY00V1IN,HP Pavilion Gaming 10th Gen Intel Core i5 Processor 15.6-inch FHD Gaming Laptop (8GB/512GB SSD + 32GB Intel Optane/Windows 10/NVIDIA 1650Ti 4GB/Shadow Black), 15-dk1508TX,HP Pavilion Gaming 15.6-inch FHD Gaming Laptop (Ryzen 5-4600H/8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec1024AX,Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Gaming Laptop (8GB/256GB SSD+1TB HDD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00UBIN,HP Pavilion Gaming 15.6-inch FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD + 256GB SSD/Windows 10/4GB NVIDIA GeForce GTX 1650 Graphics, Shadow Black/2.25 kg), 15-ec0106ax,Acer Nitro 5 Intel Core i5-10th Gen 15.6-inch Display Thin and Light Gaming Laptop (16GB Ram/1TB HDD + 256GB SSD/Win10/GTX 1650Ti Graphics/Obsidian Black/2.3 Kgs), AN515-55 + Xbox Game Pass for PC,ASUS TUF Gaming F15 Laptop 15.6"" FHD 144Hz, Intel Core i5-10300H 10th Gen, GeForce GTX 1650 4GB GDDR6 Graphics (8GB RAM/512GB NVMe SSD/Windows 10/Fortress Gray/2.30 Kg), FX566LH-HN257T,ASUS ROG Strix Scar 17 (2020), 17.3"" FHD 300Hz/3ms, Intel Core i7-10875H 10th Gen, RTX 2080 Super GDDR6 8GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 10/Black/2.99 Kg), G732LXS-HG010T,ASUS ROG Zephyrus G14, 14"" FHD 120Hz, Ryzen 7 4800HS, GTX 1650 Ti 4GB GDDR6 Graphics, Gaming Laptop (16GB/512GB SSD/MS Office 2019/Windows 10/Moonlight White/Anime Matrix/1.7 Kg), GA401II-HE155TS,Dell G3 3500 Gaming Laptop 15.6-inch (39.62 cms) FHD 120 Hz Display (10th Gen Core i5-10300H/8GB/1TB + 256GB SSD/Win 10/4GB NVIDIA1650 Ti Graphics/Eclipse Black) D560253HIN9BE,HP Pavilion Gaming 15.6-inch (39.62 cms) FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black/2.25 kg), 15-ec0100AX,HP Pavilion Gaming 10th Gen Intel Core i7 Processor 15.6-inch FHD Gaming Laptop (16GB/512GB SSD + 32GB Intel Optane/Windows 10/NVIDIA 1650 4GB/Shadow Black), 15-dk1151TX,HP Pavilion Gaming 10th Gen Intel Core i7 Processor 15.6-inch FHD Gaming Laptop (16GB/512GB SSD + 32GB Intel Optane/Windows 10/NVIDIA 1650Ti 4GB/Shadow Black), 15-dk1509TX,MSI GF65 Thin, Intel i7-10750H, 15.6"" FHD (39.6 cm) IPS-Level 144Hz Panel Laptop (16GB/512GB NVMe SSD/Windows 10 Home/Nvidia GTX1660 Ti 6GB GDDR6/Black/1.86Kg), 10SDR-1280IN,Lenovo Ideapad L340 Intel Core i5 9th Gen 15.6” FHD Gaming Laptop (8GB/1TB HDD/Windows 10/NVIDIA GeForce GTX 10503GB GDDR5/Granite Black/2.19kg),81LK01QTIN,Lenovo Ideapad S145 AMD RYZEN 3 3200U 15.6-inch (39.62 cms) FHD Laptop (4GB/1TB/Windows 10/Office 2019/Grey/1.85Kg),81UT001CIN,Acer Aspire 7 Core i5 9th Gen - (8 GB/512 GB SSD/Windows 10 Home/4 GB Graphics/NVIDIA GeForce GTX 1650 Ti) A715-75G-51H8 Gaming Laptop (15.6 inch, Charcoal Black, 2.15 kg),ASUS ROG Zephyrus G14, 14"" FHD 120Hz, Ryzen 5 4600HS, GTX 1650Ti 4GB Graphics, Gaming Laptop (8GB/512GB SSD/Office 2019/Windows 10/Gray/Anime Matrix/1.7 Kg), GA401II-HE111TS + Xbox Game Pass for PC,HP Pavilion Gaming 10th Gen Intel Core i7 Processor 15.6-inch FHD Gaming Laptop (16GB/512GB SSD + 32GB Intel Optane/Windows 10/NVIDIA 1650Ti 4GB/Shadow Black), 15-dk1509TX","8,4,66,698,57,94,698,66,324,19,535,53,6,2,78,76,23,15,15,762,9,29,15","94,990,77,990,62,990,71,990,70,990,78,990,86,290,73,564,67,990,59,990,66,490,63,990,74,656,1,84,990,1,00,990,69,990,53,990,86,990,85,713,49,990,28,990,59,790,90,990,86,990"
"ASUS TUF DASH F15 (2021), 15.6-inch FHD 144Hz, Intel Core i5-11300H, GeForce RTX 3060 6GB Graphics, Gaming Laptop (16GB RAM/512GB SSD/Office 2019/Windows 10 Home/Moonlight White/2 Kg), FX516PM-HN156TS",8,"94,990"
,,
"ASUS TUF DASH F15 (2021), 15.6-inch FHD 144Hz, Intel Core i5-11300H, GeForce RTX 3060 6GB Graphics, Gaming Laptop (16GB RAM/512GB SSD/Office 2019/Windows 10 Home/Moonlight White/2 Kg), FX516PM-HN156TS",8,"94,990"
,,"94,990"
,,
"ASUS ROG Strix G15 (2020), 15.6"" FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 Ti 4GB Graphics, Gaming Laptop (8GB RAM/1TB SSD/Office 2019/Windows 10/Electro Punk/2.3 Kg), G512LI-HN118TS",4,"77,990"
,,
"ASUS ROG Strix G15 (2020), 15.6"" FHD 144Hz, Intel Core i5-10300H 10th Gen, GTX 1650 Ti 4GB Graphics, Gaming Laptop (8GB RAM/1TB SSD/Office 2019/Windows 10/Electro Punk/2.3 Kg), G512LI-HN118TS",4,"77,990"
,,"77,990"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00UAIN",66,"62,990"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Gaming Laptop (8GB/512GB SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00UAIN",66,"62,990"
,,"62,990"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 15.6-inch FHD IPS Gaming Laptop (16GB/512 SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6/Onyx Black/2.2Kg), 82EY00V1IN",,"71,990"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 7 15.6-inch FHD IPS Gaming Laptop (16GB/512 SSD/Windows 10/NVIDIA GTX 1650 4GB GDDR6/Onyx Black/2.2Kg), 82EY00V1IN",,"71,990"
,,"71,990"
,,
"HP Pavilion Gaming 10th Gen Intel Core i5 Processor 15.6-inch FHD Gaming Laptop (8GB/512GB SSD + 32GB Intel Optane/Windows 10/NVIDIA 1650Ti 4GB/Shadow Black), 15-dk1508TX",698,"70,990"
,,
"HP Pavilion Gaming 10th Gen Intel Core i5 Processor 15.6-inch FHD Gaming Laptop (8GB/512GB SSD + 32GB Intel Optane/Windows 10/NVIDIA 1650Ti 4GB/Shadow Black), 15-dk1508TX",698,"70,990"
,,"70,990"
,,
,"57,94,698,66","78,990,86,290,73,564,67,990"
,,
,57,"78,990"
,94,"86,290"
,698,"73,564"
,66,"67,990"
,,
,,
"HP Pavilion Gaming 15.6-inch FHD Gaming Laptop (Ryzen 5-4600H/8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec1024AX",324,"59,990"
,,
"HP Pavilion Gaming 15.6-inch FHD Gaming Laptop (Ryzen 5-4600H/8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black), 15-ec1024AX",324,"59,990"
,,"59,990"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Gaming Laptop (8GB/256GB SSD+1TB HDD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00UBIN",,"66,490"
,,
"Lenovo IdeaPad Gaming 3 AMD Ryzen 5 4600H 15.6"" (39.62cms) Full HD IPS Gaming Laptop (8GB/256GB SSD+1TB HDD/Windows 10/NVIDIA GTX 1650 4GB GDDR6 Graphics/Onyx Black/2.2Kg), 82EY00UBIN",,"66,490"
,,"66,490"
,,
"HP Pavilion Gaming 15.6-inch FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD + 256GB SSD/Windows 10/4GB NVIDIA GeForce GTX 1650 Graphics, Shadow Black/2.25 kg), 15-ec0106ax",19,"63,990"
,,
"HP Pavilion Gaming 15.6-inch FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD + 256GB SSD/Windows 10/4GB NVIDIA GeForce GTX 1650 Graphics, Shadow Black/2.25 kg), 15-ec0106ax",19,"63,990"
,,"63,990"
,,
"Acer Nitro 5 Intel Core i5-10th Gen 15.6-inch Display Thin and Light Gaming Laptop (16GB Ram/1TB HDD + 256GB SSD/Win10/GTX 1650Ti Graphics/Obsidian Black/2.3 Kgs), AN515-55 + Xbox Game Pass for PC",535,"74,656"
,,
"Acer Nitro 5 Intel Core i5-10th Gen 15.6-inch Display Thin and Light Gaming Laptop (16GB Ram/1TB HDD + 256GB SSD/Win10/GTX 1650Ti Graphics/Obsidian Black/2.3 Kgs), AN515-55 + Xbox Game Pass for PC",535,"74,656"
,,"74,656"
,,
"ASUS TUF Gaming F15 Laptop 15.6"" FHD 144Hz, Intel Core i5-10300H 10th Gen, GeForce GTX 1650 4GB GDDR6 Graphics (8GB RAM/512GB NVMe SSD/Windows 10/Fortress Gray/2.30 Kg), FX566LH-HN257T",53,
,,
"ASUS TUF Gaming F15 Laptop 15.6"" FHD 144Hz, Intel Core i5-10300H 10th Gen, GeForce GTX 1650 4GB GDDR6 Graphics (8GB RAM/512GB NVMe SSD/Windows 10/Fortress Gray/2.30 Kg), FX566LH-HN257T",53,
,,
,,
"ASUS ROG Strix Scar 17 (2020), 17.3"" FHD 300Hz/3ms, Intel Core i7-10875H 10th Gen, RTX 2080 Super GDDR6 8GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 10/Black/2.99 Kg), G732LXS-HG010T",6,"1,84,990"
,,
"ASUS ROG Strix Scar 17 (2020), 17.3"" FHD 300Hz/3ms, Intel Core i7-10875H 10th Gen, RTX 2080 Super GDDR6 8GB Graphics, Gaming Laptop (16GB/1TB SSD/Windows 10/Black/2.99 Kg), G732LXS-HG010T",6,"1,84,990"
,,"1,84,990"
,,
"ASUS ROG Zephyrus G14, 14"" FHD 120Hz, Ryzen 7 4800HS, GTX 1650 Ti 4GB GDDR6 Graphics, Gaming Laptop (16GB/512GB SSD/MS Office 2019/Windows 10/Moonlight White/Anime Matrix/1.7 Kg), GA401II-HE155TS",2,"1,00,990"
,,
"ASUS ROG Zephyrus G14, 14"" FHD 120Hz, Ryzen 7 4800HS, GTX 1650 Ti 4GB GDDR6 Graphics, Gaming Laptop (16GB/512GB SSD/MS Office 2019/Windows 10/Moonlight White/Anime Matrix/1.7 Kg), GA401II-HE155TS",2,"1,00,990"
,,"1,00,990"
,,
Dell G3 3500 Gaming Laptop 15.6-inch (39.62 cms) FHD 120 Hz Display (10th Gen Core i5-10300H/8GB/1TB + 256GB SSD/Win 10/4GB NVIDIA1650 Ti Graphics/Eclipse Black) D560253HIN9BE,78,"69,990"
,,
Dell G3 3500 Gaming Laptop 15.6-inch (39.62 cms) FHD 120 Hz Display (10th Gen Core i5-10300H/8GB/1TB + 256GB SSD/Win 10/4GB NVIDIA1650 Ti Graphics/Eclipse Black) D560253HIN9BE,78,"69,990"
,,"69,990"
,,
"HP Pavilion Gaming 15.6-inch (39.62 cms) FHD Gaming Laptop (Ryzen 5-3550H/8GB/1TB HDD/Windows 10/NVIDIA GTX 1650 4GB/Shadow Black/2.25 kg), 15-ec0100AX",76,"53,990"
,,
